Num,Ia,Ib,Ic,IIa_5me,IIa_6me,IIb_5me,IIb_6me,IIc_5me,IIc_6me,IIIa_5me,IIIa_6me,IIIb_5me,IIIb_6me,IIIc_5me,IIIc_6me,Sample.type,SampleTypeNum
514,0.138079057,0.041014881,0.005134294,0.056345996,0.192693021,0.026385261,0.088380712,0.002778308,0.006536023,0.054746665,0.184130225,0.002278872,0.005469779,0.000523482,0.001444023,Lake,0
1097,0.179472773,0.112436015,0.023547534,0.182053287,0.159471699,0.092068252,0.061722237,0.007951865,0.004652622,0.077912906,0.082358273,0.006825244,0.007803229,0.00073855,0.000778371,Lake,0
796,0.1473843,0.05063777,0.013001811,0.179069656,0.190192534,0.064991162,0.041369614,0.00601932,0.001980766,0.145342227,0.129150876,0.008690829,0.007619449,0.000897281,0.000756372,Lake,0
362,0.05278439,0.027580629,0.025911352,0.040852211,0.11881117,0.016358889,0.227712541,0.00407361,0.164123677,0.041426878,0.141501576,0.005182793,0.018357786,0.002047413,0.02730066,Lake,0
1086,0.206679898,0.139486217,0.023275285,0.190988556,0.12157444,0.117359078,0.045794068,0.012713103,0.003014009,0.060146865,0.058352317,0.010285943,0.007272624,0.002102516,0.00094722,Lake,0
904,0.057141197,0.029135698,0.024790246,0.031884511,0.111706093,0.01702118,0.191240549,0.005754648,0.139821496,0.054835202,0.122958926,0.005723558,0.014294734,0.002945863,0.022411956,Lake,0
65,0.22715036,0.071411604,0.022106869,0.133168769,0.168604199,0.069908027,0.047636961,0.008368789,0.00353192,0.078365036,0.13761557,0.011771508,0.017311564,0.00168523,0.001364658,Lake,0
1125,0.303553642,0.109263727,0.026932287,0.131463952,0.193322318,0.056090162,0.054538293,0.008370148,0.00418052,0.039086724,0.066204242,0.002858792,0.00348571,0,0.000649484,Lake,0
795,0.133914965,0.067061944,0.009174071,0.182393686,0.183474466,0.069538238,0.048174499,0.003841596,0.001888404,0.154042316,0.126687707,0.007937326,0.00706079,0.000545434,0.000558287,Lake,0
353,0.192338404,0.086737042,0.014097357,0.204830596,0.128030546,0.097041098,0.027856361,0.00687935,0.0013483,0.118964068,0.099918682,0.010589902,0.009768294,0.00128275,0.0003862,Lake,0
