Unique ID;Author's Sample Name;Latitude;Longitude;pH;Referenced Data;Ia;Ib;Ic;IIa_5me;IIa_6me;IIb_5me;IIb_6me;IIc_5me;IIc_6me;IIIa_5me;IIIa_6me;IIIb_5me;IIIb_6me;IIIc_5me;IIIc_6me;Sample type
Lake-01;Flatworm Lake;7.32175;134.506067;8;Martínez-Sosa et al., 2020;0.66263709;0.09460818;0.04585599;0.07680245;0.07923528;0.00806225;0.00642393;0.00077189;0.0003874;0.01263735;0.01215427;0.00016702;0.00025691;0;0;Lake
Lake-02;Black Lake;37.80805556;-118.57278;NA;Martínez-Sosa et al., 2020;0.12281412;0.0739319;0.02892596;0.12904717;0.15561387;0.06097095;0.10153577;0.01484036;0.02459981;0.10635676;0.14518713;0.01227366;0.01242112;0.00243674;0.00904467;Lake
Lake-03;Big Croc Lake;7.154433333;134.36965;NA;Martínez-Sosa et al., 2020;0.59128626;0.13054636;0.06107057;0.0838129;0.06533858;0.01496546;0.009633;0.00120938;0.00059812;0.0202506;0.01121046;0.00228863;0.00673705;0.00000953;0.00104309;Lake
Lake-04;Ghayal ba Wazir;14.7708;49.3742;NA;Martínez-Sosa et al., 2020;0.35817346;0.28677356;0.16150079;0.04343234;0.09814033;0.01555757;0.01202318;0.00055153;0.00085493;0.00626286;0.01531152;0.0000375;0.00078924;0.00040348;0.00018767;Lake
Lake-05;Lake Adley;46.13381666;-95.3361;8.2;Martínez-Sosa et al., 2020;0.18728152;0.086867;0.01941119;0.17395093;0.17406365;0.08705149;0.06500671;0.00585758;0.00229016;0.08795328;0.09277851;0.00808286;0.00843117;0.00065769;0.00031628;Lake
Lake-06;Simon Lake;46.39243333;-81.202642;7.4;Martínez-Sosa et al., 2020;0.21098447;0.06612018;0.00966198;0.24584998;0.15977098;0.05787149;0.0429193;0.00560416;0.00072474;0.12563837;0.06501849;0.0047137;0.00478722;0.00025558;0.0000794;Lake
Lake-07;Hot Water Lake;7.15095;134.350383;NA;Martínez-Sosa et al., 2020;0.60644674;0.13028256;0.06561001;0.06850019;0.07136139;0.01354321;0.01575833;0.00170558;0.00084211;0.01379035;0.01028231;0.00018841;0.00024028;0.00119299;0.00025553;Lake
Lake-08;Lake Monoun;5.58;10.587;7.5;Martínez-Sosa et al., 2020;0.53374155;0.06181693;0.01328386;0.19073692;0.11652131;0.01686833;0.01454618;0.00262842;0.00066606;0.02662593;0.02132895;0.00056409;0.00059446;0.0000622;0.0000148;Lake
Lake-09;Emerald Lake;40.468191;-121.51906;NA;Martínez-Sosa et al., 2020;0.16331896;0.02660363;0.00685719;0.23573954;0.11373158;0.03859314;0.01138453;0.00528152;0.00528152;0.32611801;0.06095781;0.00458056;0.00155202;0;0;Lake
Lake-10;Battle Lake;72.59166667;-77.96675;NA;Martínez-Sosa et al., 2020;0.13371279;0.01075646;0.0040645;0.21454898;0.11356451;0.02343835;0.005596;0.0057052;0.0000568;0.4028224;0.0768185;0.00510673;0.00380881;0;0;Lake
Lake-11;Lake Nicaragua;11.55;-85.35;7.35;Martínez-Sosa et al., 2020;0.43015702;0.17515723;0.02419571;0.0681477;0.15649505;0.02396657;0.08275941;0.00302912;0.00128085;0.00852197;0.02243884;0.00018617;0.0034553;0.0000533;0.00015581;Lake
Lake-12;Vestre Gisholtsvatn;63.9451861;-20.51808;7.7;Martínez-Sosa et al., 2020;0.13395634;0.03898937;0.01010149;0.18141871;0.14183653;0.04009526;0.04645392;0.00509197;0.00514852;0.24091224;0.1411899;0.00552124;0.00718926;0.00038226;0.001713;Lake
Lake-13;Rice Portage Lake;46.6919833;-92.705278;NA;Martínez-Sosa et al., 2020;0.25595731;0.05580832;0.0114105;0.29947658;0.14771722;0.0473411;0.02108945;0.00390464;0.00065959;0.10230033;0.04853555;0.00331944;0.00227408;0.00014262;0.0000633;Lake
Lake-14;Big Soda Lake;39.5254325;-118.87862;9.7;Martínez-Sosa et al., 2020;0.49284202;0.01836843;0.00758968;0.0512617;0.26168394;0.00811887;0.01307654;0.00167112;0.00016711;0.00843917;0.08577039;0.02350713;0.0271279;0.00030637;0.0000696;Lake
Lake-15;Hidden Lake;40.50594;-106.6074;NA;Martínez-Sosa et al., 2020;0.1717595;0.0299135;0.01067485;0.25682107;0.1297845;0.06959177;0.01694669;0.00029193;0.01327266;0.23317193;0.05871439;0.0062313;0.0028259;0;0;Lake
